,dEVI,Grid,Range
3404,2381.5,AUB,SK
3405,2732,AUB,SK
3406,2732,AUB,SK
3407,2348,AUB,SK
3408,2348,AUB,SK
3409,2104,AUB,SK
3410,2104,AUB,SK
3411,1884.5,AUB,SK
3412,1884.5,AUB,SK
3413,2584,AUB,SK
3414,2584,AUB,SK
3415,3012,AUB,SK
3416,3012,AUB,SK
3417,2923.5,AUB,SK
3418,2923.5,AUB,SK
3419,3131,AUB,SK
3420,3131,AUB,SK
3421,3117.5,AUB,SK
3422,3117.5,AUB,SK
3423,2674,AUB,SK
3424,2674,AUB,SK
3425,1896,AUB,SK
3426,1896,AUB,SK
3427,2031.5,AUB,SK
3428,2031.5,AUB,SK
3429,1968.5,AUB,SK
3430,1968.5,AUB,SK
3431,1734.5,AUB,SK
3432,1734.5,AUB,SK
3433,1968.5,AUB,SK
3434,1968.5,AUB,SK
3435,2406.5,AUB,SK
3436,2406.5,AUB,SK
3437,3261,AUB,SK
3438,3261,AUB,SK
3439,3882,AUB,SK
3440,3882,AUB,SK
3441,1231,AUB,SK
3442,1231,AUB,SK
3443,1441,AUB,SK
3444,1441,AUB,SK
3445,1476,AUB,SK
3446,1476,AUB,SK
3447,1680,AUB,SK
3448,1680,AUB,SK
3449,1706.5,AUB,SK
3450,1706.5,AUB,SK
3451,2216,AUB,SK
3452,2216,AUB,SK
3453,2444.5,AUB,SK
3454,2444.5,AUB,SK
3455,2233.5,AUB,SK
3456,2233.5,AUB,SK
3457,2613.5,AUB,SK
3458,2613.5,AUB,SK
3459,3013.5,AUB,SK
3460,3013.5,AUB,SK
3461,2873.5,AUB,SK
3462,2873.5,AUB,SK
3463,1888,AUB,SK
3464,1888,AUB,SK
3465,2309,AUB,SK
3466,2309,AUB,SK
3467,2692.5,AUB,SK
3468,2692.5,AUB,SK
3469,2398,AUB,SK
3470,2398,AUB,SK
3471,3058.5,AUB,SK
3472,3058.5,AUB,SK
3473,2972,AUB,SK
3474,2972,AUB,SK
3475,2689,AUB,SK
3476,2689,AUB,SK
3477,1789,AUB,SK
3478,1789,AUB,SK
3479,2096,AUB,SK
3480,2096,AUB,SK
3481,2324,AUB,SK
3482,2324,AUB,SK
3483,2190,AUB,SK
3484,2190,AUB,SK
3485,1683.5,AUB,SK
3486,1683.5,AUB,SK
3487,1467,AUB,SK
3488,1467,AUB,SK
3489,1702,AUB,SK
3490,1702,AUB,SK
3491,2755,AUB,SK
3492,2755,AUB,SK
3493,3274,AUB,SK
3494,3274,AUB,SK
3495,1595.5,AUB,SK
3496,1231,AUB,SK
3497,1231,AUB,SK
3498,1441,AUB,SK
3499,1441,AUB,SK
3500,1476,AUB,SK
3501,1476,AUB,SK
3502,1680,AUB,SK
3503,1680,AUB,SK
3504,1706.5,AUB,SK
3505,1706.5,AUB,SK
3506,2216,AUB,SK
3507,2216,AUB,SK
3508,2444.5,AUB,SK
3509,2444.5,AUB,SK
3510,2233.5,AUB,SK
